,song,times_played
0,22 (feat. Bhad Bhabie)(prod.Zvanz),2.65M
1,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",0
2,على الله - محمد رمضان | Ala Allah - Mohamed Ramadan,15.9M
3,Polo G Smooth Criminal,3.66M
4,"NEIKED, Mae Muller, Polo G - Better Days",0
5,Drake - Knife Talk (feat. 21 Savage & Project Pat),0
6,2055,0
7,Lil Tecca - LOT OF ME,6.42M
8,babysantana & yvngxchris - get off the leash,3.56M
9,Pissed Me Off,0
10,انا غلط وانت صح,23M
11,Still Into You - Drill Remix,2.93M
12,Jugaste y Sufrí (feat. DannyLux),0
13,احمد عامر(لا داعي) غلطان فى غيرتي عارف 2021,2.23M
14,Está Dañada,0
15,مهرجان خطر( ياللي سيرتي تعباك )حوده بندق و مسلم,3.56M
16,masquerade,4.06M
17,Drake - Way 2 Sexy (feat. Future & Young Thug),0
18,Life Goes On,6.58M
19,مهرجان ممنوع الاقتراب مسلم و سيف مجدي البوم سلطان الشن 2021,1.34M
20,Shahyn - Siri | ReMiX | شـاهين - سـيري,5.39M
21,Not In The Mood (feat. Fivio Foreign & Kay Flock),0
22,Sky,17.4M
23,Bubbly (with Drake & Travis Scott),1.26M
24,يا سبايسي (سجلتك على التليفون هارتي) [feat. Omar El Karwan],4M
25,"MC Poze do Rodo - Eu Fiz o Jogo Virar (prod. Ajaxx, Galdino)",9.27M
26,Thabet Song - Mohamed Ramadan | أغنية ثابت - محمد رمضان,17.1M
27,Polo G - RAPSTAR,0
28,Life Support,6.91M
29,Too Easy (feat. Future),3.09M
30,RealestK - WFM,2.14M
31,مهرجان طب بوم طخ طخ طخ ( انا كينج كونج الارض ) عصام صاصا الكروان - توزيع كيمو الديب Essam Sasa,2.76M
32,Lil Baby - Ready (feat. Gunna),0
33,Nevada,0
34,love nwantiti (feat. Dj Yo! & AX'EL) (Remix),0
35,INDUSTRY BABY (feat. Jack Harlow),0
36,Stay (with Justin Bieber),0
37,طريقي خوف ( اللى كان عامل حبيبي بان وطلع كداب ) حوده بندق و نعوم,3.17M
38,No Where,3.48M
39,مهرجان صاحبي من غبائه ( مين غيرك قوليلي هيفرحني يا نور عيني ) مودي امين - عصام صاصا,14.9M
40,CKay - Love Nwantiti (TikTok Remix) Lyrics Ah Ah Ah Ah Ahhh Song Ule Open Am Make I See Ule,2.16M
41,Drake - Girls Want Girls (feat. Lil Baby),0
42,family ties (with Kendrick Lamar),0
43,Antisocial (feat. Slump6s) [prod. Maajins x CGM],11.6M
44,"A Cara do Crime ""NÓS INCOMODA""- MC Poze do Rodo | Bielzin | PL Quest | MC Cabelinho (prod. Neobeats)",24.9M
45,Bad Morning,4.72M
46,I Love You So,4M
47,"...AND TO THOSE I LOVE, THANKS FOR STICKING AROUND",35.8M
48,Break Or Make Me,3.43M
